region,indicator,Unit,Date,Value
Kings,public,Mgal/d,1/1/2005 0:00,18.11
Kings,public,Mgal/d,1/1/2010 0:00,19.25
Kings,publicpercapita,gallons/day,1/1/2010 0:00,140
Kings,total,Mgal/d,1/1/2005 0:00,24.11
Kings,total,Mgal/d,1/1/2010 0:00,20.39
Lake,population,thousands,1/1/2000 0:00,13.65
Lake,population,thousands,1/1/2005 0:00,33.693
Lake,population,thousands,1/1/2010 0:00,25.945
Lake,groundwater,Mgal/d,1/1/2000 0:00,0.92
Lake,groundwater,Mgal/d,1/1/2005 0:00,1.04
Lake,groundwater,Mgal/d,1/1/2010 0:00,1.64
Lake,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.1
Lake,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0
Lake,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.31
Lake,selfsupplied,Mgal/d,1/1/2000 0:00,1.02
Lake,selfsupplied,Mgal/d,1/1/2005 0:00,1.04
Lake,selfsupplied,Mgal/d,1/1/2010 0:00,1.95
Lake,selfpercapitause,gallons/day,1/1/2010 0:00,75
Lake,public,Mgal/d,1/1/2005 0:00,6.81
Lake,public,Mgal/d,1/1/2010 0:00,6.4
Lake,publicpercapita,gallons/day,1/1/2010 0:00,165
Lake,total,Mgal/d,1/1/2005 0:00,7.85
Lake,total,Mgal/d,1/1/2010 0:00,8.35
Lassen,population,thousands,1/1/2000 0:00,16.72
Lassen,population,thousands,1/1/2005 0:00,20.236
Lassen,population,thousands,1/1/2010 0:00,18.215
Lassen,groundwater,Mgal/d,1/1/2000 0:00,1.13
Lassen,groundwater,Mgal/d,1/1/2005 0:00,3.14
Lassen,groundwater,Mgal/d,1/1/2010 0:00,0.47
Lassen,selfsuppliedsurface,Mgal/d,1/1/2000 0:00,0.13
Lassen,selfsuppliedsurface,Mgal/d,1/1/2005 0:00,0.9
Lassen,selfsuppliedsurface,Mgal/d,1/1/2010 0:00,0.09
Lassen,selfsupplied,Mgal/d,1/1/2000 0:00,1.26
Lassen,selfsupplied,Mgal/d,1/1/2005 0:00,4.04
Lassen,selfsupplied,Mgal/d,1/1/2010 0:00,0.56
