region,indicator,Unit,Date,Value,Preferred
Sonoma,groundwater,Mgal/d,01/01/2005 00:00:00,7.9,YES
Sonoma,groundwater,Mgal/d,01/01/2010 00:00:00,5.38,YES
Sonoma,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.82,YES
Sonoma,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.04,YES
Sonoma,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.39,YES
Sonoma,selfsupplied,Mgal/d,01/01/2000 00:00:00,8.16,YES
Sonoma,selfsupplied,Mgal/d,01/01/2005 00:00:00,7.94,YES
Sonoma,selfsupplied,Mgal/d,01/01/2010 00:00:00,5.77,YES
Sonoma,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Sonoma,public,Mgal/d,01/01/2005 00:00:00,55.14,YES
Sonoma,public,Mgal/d,01/01/2010 00:00:00,31.22,YES
Sonoma,publicpercapita,gallons/day,01/01/2010 00:00:00,77,NO
Sonoma,total,Mgal/d,01/01/2005 00:00:00,63.08,YES
Sonoma,total,Mgal/d,01/01/2010 00:00:00,36.99,YES
Stanislaus,population,thousands,01/01/2000 00:00:00,85.17,NO
Stanislaus,population,thousands,01/01/2005 00:00:00,73.54,YES
Stanislaus,population,thousands,01/01/2010 00:00:00,40.443,YES
Stanislaus,groundwater,Mgal/d,01/01/2000 00:00:00,5.76,YES
Stanislaus,groundwater,Mgal/d,01/01/2005 00:00:00,39.93,YES
Stanislaus,groundwater,Mgal/d,01/01/2010 00:00:00,2.85,YES
Stanislaus,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.64,YES
Stanislaus,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,4.44,YES
Stanislaus,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.19,YES
Stanislaus,selfsupplied,Mgal/d,01/01/2000 00:00:00,6.4,YES
Stanislaus,selfsupplied,Mgal/d,01/01/2005 00:00:00,44.37,YES
Stanislaus,selfsupplied,Mgal/d,01/01/2010 00:00:00,3.04,YES
Stanislaus,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Stanislaus,public,Mgal/d,01/01/2005 00:00:00,82.63,NO
Stanislaus,public,Mgal/d,01/01/2010 00:00:00,72.42,NO
Stanislaus,publicpercapita,gallons/day,01/01/2010 00:00:00,153,NO
Stanislaus,total,Mgal/d,01/01/2005 00:00:00,127,NO
Stanislaus,total,Mgal/d,01/01/2010 00:00:00,75.46,NO
Sutter,population,thousands,01/01/2000 00:00:00,21.31,YES
Sutter,population,thousands,01/01/2005 00:00:00,16.575,YES
